text,label
What is the tallest building in Japan?,irrelevant
What's the capital of Portugal?,irrelevant
What is the largest ocean on Earth?,irrelevant
Who won the Nobel Prize for Literature in 2018?,irrelevant
How many countries are members of NATO?,irrelevant
What is the most popular sport played in China?,irrelevant
Which city has the highest crime rate in the United States?,irrelevant
What color is the sky at sunrise?,irrelevant
What was the name of the first computer virus?,irrelevant
What is the longest river in Africa?,irrelevant
What is the average weight of a blue whale?,irrelevant
How many different types of bird feathers exist?,irrelevant
Can a cat purr at night?,irrelevant
Who was the oldest person to live in space?,irrelevant
"Is it true that humans can only taste five flavors: sweet, sour, salty, bitter, and umami?",irrelevant
What is the highest mountain on Mars called?,irrelevant
How many books are in the Bible?,irrelevant
Can a kangaroo jump higher than a building?,irrelevant
Who invented the modern version of the microwave oven?,irrelevant
Is it possible to have 75 years old at once?,irrelevant
What is the most popular candy bar in Japan?,irrelevant
How many countries are there in the United Kingdom?,irrelevant
What color was the first Ford Mustang sold in America?,irrelevant
Who won the 2018 Nobel Peace Prize?,irrelevant
What is the largest city in Europe?,irrelevant
When was the Declaration of Independence signed?,irrelevant
What is the most common type of coffee in France?,irrelevant
How many bones do humans have?,irrelevant
What is the longest river in the United States?,irrelevant
Who has won the most World Series titles?,irrelevant
"What are the main causes of coral bleaching, and how does it affect coral health?",relevant
Describe the various species of corals found in the ocean and their unique characteristics.,relevant
Explain the role of algae in the symbiotic relationship between corals and zooxanthellae.,relevant
Discuss the impact of pollution on marine life and how it affects coral reefs.,relevant
What are the key factors that contribute to the biodiversity of coral reefs?,relevant
"How can climate change affect the distribution and health of coral reefs, and what measures are being taken to address this issue?",relevant
"Describe the process of coral reproduction in detail, including both sexual and asexual methods.",relevant
Discuss the role of corals in the food chain and their importance as habitat for various marine species.,relevant
"What is the current status of coral reef conservation efforts worldwide, and what are some successful strategies being implemented?",relevant
"How do scientists use technology, such as satellite imagery and genetic analysis, to monitor and manage coral reefs?",relevant
What is the most popular hobby among teenagers?,irrelevant
Which type of coffee bean has the strongest taste?,irrelevant
Who was the first person to complete a solo round-the-world sailboat race?,irrelevant
In which country do most people speak Spanish?,irrelevant
What was the first video game released in 1972?,irrelevant
Which famous actor portrayed the character 'Dr. House' on the medical drama TV show 'House'?,irrelevant
What is the capital city of Australia?,irrelevant
Who created the iconic song 'Bohemian Rhapsody'?,irrelevant
What is the most expensive car model in the world as of 2023?,irrelevant
Which planet is known for its unique rings?,irrelevant
What is the most effective method for measuring water quality in marine environments?,relevant
How do scientists use DNA analysis to identify different species of plankton in coral reefs?,relevant
What role does carbon dioxide play in ocean acidification and its impact on coral health?,relevant
"Which type of coral bleaching has a more significant effect on reef ecosystems, thermal or nutrient-related?",relevant
What are the key factors contributing to the decline of coral populations in the Great Barrier Reef over the past decades?,relevant
How can artificial reefs be used to enhance marine biodiversity and support marine life recovery?,relevant
"What is the relationship between coral spawning and water temperature, and how does this affect reproductive success?",relevant
What are some strategies for conserving coral genetic diversity in isolated coral populations?,relevant
Which species of fish are known to help maintain coral reef health by grazing on algae that compete with corals for space?,relevant
How can climate change be mitigated through conservation efforts that focus on preserving and restoring coral reefs?,relevant
